ResourceName,ParentAgencyName
Administrative Services,Aldine Independent School District
Administrative Services,Alief Independent School District
Administrative Services,Alvin Independent School District
Administrative Services,Anahuac Independent School District
Administrative Services,Angleton Independent School District
Administrative Services,"AVANCE-Houston, Inc."
Administrative Services,Barbers Hill Independent School District
Administrative Services,Bay City Independent School District
Administrative Services,Baylor College of Medicine
Administrative Services,Boling Independent School District
Administrative Services,Brazoria County Head Start & Early Head Start Programs
Administrative Services,Brazoria County Library System
Administrative Services,Brazos Independent School District
Administrative Services,Brazosport Independent School District
Administrative Services,Brownsville Independent School District
Administrative Services,"Cenikor Foundation, Inc."
Administrative Services,Channelview Independent School District
Administrative Services,Clear Creek Independent School District
Administrative Services,Cleveland Independent School District
Administrative Services,Columbia-Brazoria Independent School District
Administrative Services,Columbus Independent School District
Administrative Services,Communities in Schools of Galveston County
Administrative Services,Communities In Schools of Houston
Administrative Services,Conroe Fire Department
Administrative Services,Conroe Independent School District
Administrative Services,Crosby Independent School District
Administrative Services,Cypress-Fairbanks Independent School District
Administrative Services,Damon Independent School District
Administrative Services,Danbury Independent School District
Administrative Services,Dayton Independent School District
Administrative Services,Deer Park Independent School District
Administrative Services,Depression & Bipolar Support Alliance
Administrative Services,Devers Independent School District
Administrative Services,Dickinson Independent School District
Administrative Services,Donna Independent School District
Administrative Services,East Bernard Independent School District
Administrative Services,East Chambers Independent School District
Administrative Services,Edcouch - Elsa Independent School District
Administrative Services,Edinburg Consolidated Independent School District
Administrative Services,El Campo Independent School District
Administrative Services,Flatonia Independent School District (FISD)
Administrative Services,Friendswood Independent School District
Administrative Services,Galveston Independent School District
Administrative Services,Goose Creek Consolidated Independent School District
Administrative Services,Hardin Independent School District
Administrative Services,Harlingen Consolidated Independent School District
Administrative Services,Hempstead Independent School District
Administrative Services,Hidalgo Independent School District
Administrative Services,High Island Independent School District
Administrative Services,Hitchcock Independent School District
Administrative Services,Houston Community College System
Administrative Services,Houston Fire Department
Administrative Services,Houston Independent School District HISD
Administrative Services,Huffman Independent School District
Administrative Services,Hull-Daisetta Independent School District
Administrative Services,Humble Independent School District
Administrative Services,Huntsville Independent School District
Administrative Services,Katy Independent School District
Administrative Services,Kelsey Research Foundation
Administrative Services,Klein Independent School District
Administrative Services,La Feria Independent School District
Administrative Services,La Marque Independent School District
Administrative Services,La Porte Independent School District
Administrative Services,Lamar Consolidated Independent School District
Administrative Services,Lasara Independent School District
Administrative Services,Liberty Independent School District
Administrative Services,Los Fresnos Consolidated Independent School District
Administrative Services,Louise Independent School District
Administrative Services,Lyford Consolidated Independent School District
Administrative Services,Matagorda County Regional Medical Center
Administrative Services,Matagorda Independent School District
Administrative Services,Memorial Hermann Healthcare System
Administrative Services,Montgomery Independent School District
Administrative Services,National Alliance on Mental Illness-NAMI Texas
Administrative Services,Needville Independent School District
Administrative Services,New Caney Independent School District
Administrative Services,New Waverly Independent School District
Administrative Services,Palacios Independent School District
Administrative Services,Palmer Drug Abuse Program-Houston
Administrative Services,Pasadena Independent School District
Administrative Services,Pearland Independent School District
Administrative Services,Pharr San Juan Alamo Independent School District
Administrative Services,Pleasant Hill Baptist Church
Administrative Services,Point Isabel Independent School District
Administrative Services,Prairie View A&M University
Administrative Services,Progreso Independent School District
Administrative Services,Raymondville Independent School District
Administrative Services,"Reach Unlimited, Inc."
Administrative Services,Rice Consolidated Independent School District
Administrative Services,Rio Grande City Independent School District
Administrative Services,Rio Hondo Independent School District
Administrative Services,Roma Independent School District
Administrative Services,Royal Independent School District
Administrative Services,Samaritan Ministry
Administrative Services,San Benito Consolidated Independent School District
Administrative Services,San Perlita Independent School District
Administrative Services,Santa Fe Independent School District
Administrative Services,Santa Maria Independent School District
Administrative Services,Santa Rosa Independent School District
Administrative Services,Sealy Independent School District
Administrative Services,Sharyland Independent School District
Administrative Services,Sheldon Independent School District
Administrative Services,South Texas Independent School District
Administrative Services,Splendora Independent School District
Administrative Services,Spring Branch Independent School District
Administrative Services,Spring Independent School District
Administrative Services,Stafford Municipal School District
Administrative Services,Sweeny Independent School District
Administrative Services,Tarkington Independent School District
Administrative Services,Texas Children's Pediatric Associates
Administrative Services,Texas City Independent School District
Administrative Services,Texas Inter-Faith Housing Corporation And Management Corporation
Administrative Services,The Salvation Army-Greater Houston Area Command
Administrative Services,Tidehaven Independent School District
Administrative Services,Tomball Independent School District
Administrative Services,Tri-County Services
Administrative Services,Valley View Independent School District
Administrative Services,Van Vleck Independent School District
Administrative Services,Waller Independent School District
Administrative Services,Weslaco Independent School District
Administrative Services,Wharton County Junior College
Administrative Services,Wharton Independent School District
Administrative Services,Willis Independent School District
Administrative Services,Windsor Village United Methodist Church
Administrative Services,Workforce Solutions - Gulf Coast
Administrative Services,Workforce Solutions Rural Capital Area
Administrative/800 numbers,Workforce Solutions North Texas
Admission,Tri-County Services
Admissions,Big Spring State Hospital
Admissions Unit,Heart of Texas Region Mental Health Mental Retardation Center
Adolescent Health Services,People's Community Clinic
Adolescent Immunizations ,City of El Paso Department of Public Health
Adolescent Pregnancy and Parenting Program,"Catholic Charities, Archdiocese of San Antonio, Inc."
Adolescent Program Inpatient Psychiatric Treatment,Abilene Behavioral Health
Adolescent Services,IntraCare Behavioral Health
Adolescent Services,West Oaks Hospital
Adolescent Services- Younger Group,Palmer Drug Abuse Program- Midland
Adolescent Substance Abuse Inpatient Treatment,"Cenikor Foundation Odyssey House Texas, Inc."
Adolescent Substance Use Outpatient Treatment Services,Austin Travis County Integral Care (ATCIC) Child and Family Services 
Adolescent/Youth Counseling,"Youth Advocate Programs, Inc."
Adolescents,City House
Adopt -A- Family Program,South Texas Food Bank
Adopt A Family Program,"Family Service Association of San Antonio, Inc."
Adopt-A-Child,Cornerstone Assistance Network
Adopt-A-Family,Interfaith of the Woodlands
Adopt-A-Family Program,"Family Service Association of San Antonio, Inc."
Adoption,ACH Child and Family Services
Adoption,Children's Advocacy Center of Collin  County
Adoption,Spaulding for Children
Adoption & Foster Care Services,Texas Baptist Home for Children
Adoption and Maternity Services,Presbyterian Children's Homes and Services
Adoption Services,Alternatives in Motion
Adoption Services,DePelchin Childrens Center
Adoption Services,"Family to Family Adoptions, Inc."
Adoption Services,Homes4Good
Adoption Services,Hope Cottage Pregnancy and Adoption Center
Adoption Services,Humane Society of North Texas
Adoption Services,Spaulding for Children
Adoption/Pregnancy Counseling,Inheritance Adoptions
ADR System Mediation,"Family Services Center, Inc."
ADRC,
ADRC,ADRC of Texoma
ADRC,Community Healthcore ET
ADRC,Dispute Resolution Center - Austin
ADRC,Lower Rio Grande Valley Development Council
ADRC,Red River Aging & Disability Resource Center - North Texas
ADRC,South East Texas Regional Planning Commission
ADRC,South Plains Area Agency on Aging AAA
adrc,West Central Texas Council of Governments
ADRC Abilene - Housing Navigator,West Central Texas Council of Governments
"ADRC Abilene - Information, Referral and Assistance",West Central Texas Council of Governments
ADRC Abilene - Long Term Care Options Counseling,West Central Texas Council of Governments
ADRC of Texoma,
ADRC of Texoma,ADRC of Texoma
ADRN Disaster Relief Shepherd Program - South Central Texas Area,"Extreme Weather - May, 2015"
ADT,Andrews Center
ADTRC,Project Amistad
Adult & Youth Sports,La Porte Parks and Recreation Center
Adult Acquired Brain Trauma Program (ENCORE),Easter Seal Rehabilitation Center
Adult Activity Center,The Center Serving Persons with Mental Retardation
Adult and Children's Mental Health Services,Hill Country Mental Health and Developmental Disabilities
Adult And Continuing Education Dept.,Plano ISD
Adult and Family Education,"AVANCE-Houston, Inc."
Adult and Pediatric Medical Care and Prenatal Services,Brazos Valley Community Action Agency - BVCAA
Adult and Pediatric Medical Care Services,Brazos Valley Community Action Agency - BVCAA
Adult and Pediatric Medical Care/Family Planning Services,Brazos Valley Community Action Agency - BVCAA
Adult and Teen Challenge of Brenham,
Adult and Teen Challenge of San Antonio,
Adult and Teen Challenge of San Antonio,Adult and Teen Challenge of San Antonio
Adult and Travel Immunizations,Houston Department of Health and Human Services
Adult Basic Education,
Adult Basic Education,Adult Basic Education
Adult Basic Education,Conroe Independent School District
Adult Basic Education,Fort Worth Independent School District
Adult Basic Education,Houston Community College System
Adult Basic Education,"Julia C. Hester House, Inc."
Adult Basic Education,"Latino Learning Center, Inc."
Adult Basic Education,McLennan Community College Adult Education
Adult Basic Education,Mission Greenspoint
Adult Basic Education,Oscar Johnson Jr. Community Center
Adult Basic Education,Permian Basin Consortium
Adult Basic Education,Trinity Episcopal Church
Adult Basic Education and Literacy Program,Midland College Cogdell Learning Center
Adult Basic Education/GED Preparation,Austin Community College (ACC)
Adult Basic Learning Enrichment,First Baptist Church Community Services
Adult Behavioral Health Services,Helen Farabee Centers
Adult Case Management Services,"Arc of the Capital Area, The"
Adult Chemical Dependency/Dual Diagnosis Program,Abilene Behavioral Health
Adult Child and Family Counseling Center,
Adult Child and Family Counseling Center,Adult Child and Family Counseling Center
Adult Choices Not Chances and Youth Sobering Facts Intervention,Brazos Valley Council on Alcohol and Substance Abuse BVCASA
